ds,yhat,yhat_lower,yhat_upper,trend
2018-01-03,714.4079317703331,-1918.1895256968317,3253.973146921715,2094.734685061859
2018-01-04,1761.083779829991,-739.7159739603246,4384.665193245958,2095.737650609182
2018-01-05,2163.113458215672,-243.79043557986995,4691.911491218685,2096.740616156504
2018-01-06,1751.9557933959636,-1001.9350388405003,4174.192444567999,2097.7435817038263
2018-01-07,1818.5422986527913,-888.7231879372697,4479.0669831987825,2098.7465472511485
2018-01-08,1912.970000604744,-675.8679356741865,4348.16721846988,2099.749512798471
2018-01-09,1223.0668597539416,-1236.6689349180356,3628.7914058085285,2100.7524783457934
2018-01-10,212.41278722431957,-2245.6495593349805,2800.493488578488,2101.755443893116
2018-01-11,1309.151994364267,-1215.0575879653807,3869.348967052762,2102.758409440438
2018-01-12,1766.1063638418875,-619.6379060424744,4320.635881204138,2103.7613749877605
2018-01-13,1413.7235445275837,-1300.687177221366,3964.6775002862382,2104.7643405350827
2018-01-14,1541.8241083266446,-851.8664466904445,4212.441722664434,2105.7673060824054
2018-01-15,2985.8899344650345,292.8407849647559,5386.009779931704,2106.7702716297276
2018-01-16,1072.800184088727,-1708.2068355453605,3743.3243690931467,2107.7732371770503
2018-01-17,124.59263338609298,-2521.1645541182424,2527.1298817226025,2108.776202724372
2018-01-18,1281.5931230383903,-1359.575754362713,3791.6644684733214,2109.7791682716947
2018-01-19,1795.4144167777758,-756.6282436223789,4408.675519135021,2110.782133819017
2018-01-20,1495.3620644173345,-1024.2711084950884,4098.178612965795,2111.785099366339
2018-01-21,1670.2093487086945,-828.1270429160597,4344.433098339742,2112.788064913662
2018-01-22,1867.940362560843,-748.7465503229021,4326.463582218208,2113.791030460984
2018-01-23,1274.3653776614824,-1259.7962442256453,3941.4409650289485,2114.7939960083063
2018-01-24,351.1902784639931,-2164.551728275371,2931.3613673572254,2115.796961555629
2018-01-25,1524.8745904112952,-997.7127424896776,4110.33931022716,2116.799927102951
2018-01-26,2046.7866340168464,-672.3252481393383,4546.737280911192,2117.8028926502734
2018-01-27,1746.1884313137668,-800.5558275510531,4397.496743383731,2118.805858197596
2018-01-28,1912.0137361337493,-586.509082650137,4698.410939910025,2119.8088237449183
2018-01-29,2092.6093131765465,-548.7067557608176,4716.580579416005,2120.8117892922405
2018-01-30,1474.3436165925177,-1146.6742010536811,4055.315382470166,2121.8147548395627
2018-01-31,519.6647534113704,-2192.4561217850937,3247.3634442014327,2122.8177203868854
2018-02-01,1655.9424920930965,-912.4175196078592,4317.786984008701,2123.8206859342076
2018-02-02,2135.603194621319,-272.59722961707496,4664.310584841592,2124.8236514815303
2018-02-03,1789.0907530327293,-707.6544352715623,4266.311035800901,2125.826617028852
2018-02-04,1906.6174533728977,-778.8638546357558,4504.420390205911,2126.8295825761747
2018-02-05,2037.8755275938477,-606.0426176229569,4544.859226346877,2127.832548123497
2018-02-06,1370.6142482059695,-1216.1900256996619,3802.565968417301,2128.8355136708196
2018-02-07,368.66520666283304,-2209.8443970558055,2927.566981311388,2129.838479218142
2018-02-08,1460.751323934402,-1119.9504753418325,3861.9602779157117,2130.8414447654645
2018-02-09,1900.58927310254,-607.995608221104,4547.580398923938,2131.8444103127863
